Mnemonics_Arquivos,Mnemonics_Variaveis,long_name,Descricao,Unidade,Data Atualização
,HSSP,Espectro de alta resolução do detector de espaçamento curto,Espectro de alta resolução do detector de espaçamento curto,ADIMENSIONAL,NaT
,HSTC,Porosidade corrigida do standoff,Porosidade corrigida do standoff,pu,NaT
,HT01,10 in Radial Res,Resistividade no Raio de 10 polegadas,ohm.m,NaT
,HT02,10 in Radial Res,Resistividade no Raio de 20 polegadas,ohm.m,NaT
,HT03,10 in Radial Res,Resistividade no Raio de 30 polegadas,ohm.m,NaT
,HT06,10 in Radial Res,Resistividade no Raio de 60 polegadas,ohm.m,NaT
,HT09,10 in Radial Res,Resistividade no Raio de 60 polegadas,ohm.m,NaT
,HT12,10 in Radial Res,Resistividade no Raio de 60 polegadas,ohm.m,NaT
,HTAL,Fator alpha em alta resolução,Fator alpha em alta resolução,Adimensional,NaT
,HTEM,Temperatura do HTC,Temperatura do HTC,DEGF,NaT
,HTEN,Head tension,Força de compressão ou estiramenta sobre a ferramenta,lbf,NaT
,HTFC,APS Tempo de aquisição da Taxa de Contagem do Detector Térmico de Alta Resolução,APS Tempo de aquisição da Taxa de Contagem do Detector Térmico de Alta Resolução,s,NaT
,HTFD,Tempo de adquisição do detector distante em alta resolução,Tempo de adquisição do detector distante em alta resolução,s,NaT
,HTFT,APS Tempo de aquisição da distribuição de tempo do detector térmico,APS Tempo de aquisição da distribuição de tempo do detector térmico,s,NaT
,HTHO,Concentração de Tório na formação,Concentração de Tório na formação,ppm,NaT
,HTNC,APS Tempo de acquisição em alata resolução da taxa de contagem do conjunto de detectore,APS Tempo de acquisição em alata resolução da taxa de contagem do conjunto de detectore,s,NaT
,HTND,Tempo de aquisição do detector próximo de alta resolução,Tempo de aquisição do detector próximo de alta resolução,s,NaT
,HTNP_DOL,Porosidade neutrônica em alta resolução (matriz dolimita),Porosidade neutrônica em alta resolução (matriz dolimita),pu,NaT
,HTNP_LIM,Porosidade neutrônica em alta resolução (matriz calcita),Porosidade neutrônica em alta resolução (matriz calcita),pu,NaT
,HTNP_SAN,Porosidade neutrônica em alta resolução (matriz arenito),Porosidade neutrônica em alta resolução (matriz arenito),pu,NaT
,HTNR,Taxa media de neutrons termicos de alta resolucao,Taxa media de neutrons termicos de alta resolucao,Adimensional,NaT
,HTNT,APS Tempo de aquisição da distribuição de tempo do conjunto,APS Tempo de aquisição da distribuição de tempo do conjunto,s,NaT
,HTPR,Relação Tório/ Potássio,Relação Tório/ Potássio,Adimensional,NaT
,HTUR,Relação Tório/Urânio,Relação Tório/Urânio,Adimensional,NaT
,HULS,fator fotoeletrico volumetrico em alta resolução,fator fotoeletrico volumetrico em alta resolução,ADIMENSIONAL,NaT
,HUPR,Relação Urânio/ Potássio,Relação Urânio/ Potássio,Adimensional,NaT
,HURA,Concentração de Urânio na formação,Concentração de Urânio na formação,ppm,NaT
,HV,Voltagem na Cabeca da Ferramenta,Voltagem na Cabeca da Ferramenta,V,NaT
,HV2C,RST Corrente CC de alta tensão,RST Corrente CC de alta tensão,mA,NaT
,HVCL,Limite de alta tensão RST,Limite de alta tensão RST,V,NaT
,HVML,Medida de alta tensão do detector de  espaçamento longo,Medida de alta tensão do detector de  espaçamento longo,V,NaT
,HVMS,Medida de alta tensão do detector de espaçamento curto,Medida de alta tensão do detector de espaçamento curto,V,NaT
,HVOLTA,Head Voltage,Voltagem da Cabeça,V,NaT
,HVPS,High voltage power supply setting,High voltage power supply setting,mV,NaT
,HVPV,RST Tensão primária de alta tensão,RST Tensão primária de alta tensão,V,NaT
,HVRL,Taxa de contagem de transbordo em alta resolução do detector de espaçamento longo,Taxa de contagem de transbordo em alta resolução do detector de espaçamento longo,CPS,NaT
,HVRS,Taxa de contagem de transbordo em alta resolução do detector de espaçamento curto,Taxa de contagem de transbordo em alta resolução do detector de espaçamento curto,CPS,NaT
,HWEC,Curvatura do poço,Curvatura do poço,D/F,NaT
,HWER,Raio de curvatura do poço,Raio de curvatura do poço,FT,NaT
,HYDAMP1,HydAmp1,Amplitude do hidrofone 1,Adimensional,NaT
,HYDAMP10,HydAmp10,Amplitude do hidrofone 10,Adimensional,NaT
,HYDAMP2,HydAmp2,Amplitude do hidrofone 2,Adimensional,NaT
,HYDAMP3,HydAmp3,Amplitude do hidrofone 3,Adimensional,NaT
,HYDAMP4,HydAmp4,Amplitude do hidrofone 4,Adimensional,NaT
,HYDAMP5,HydAmp5,Amplitude do hidrofone 5,Adimensional,NaT
,HYDAMP6,HydAmp6,Amplitude do hidrofone 6,Adimensional,NaT
,HYDAMP7,HydAmp7,Amplitude do hidrofone 7,Adimensional,NaT
,HYDAMP8,HydAmp8,Amplitude do hidrofone 8,Adimensional,NaT
,HYDAMP9,HydAmp9,Amplitude do hidrofone 9,Adimensional,NaT
,HYDP,Hydraulic Press,Pressão Hidráulica no teste de formação,psi,NaT
,IBCY,Impulse Boolean Cycle,Ciclo de impulso boleano,Adimensional,NaT
,IBTS,Impulse Boolean Test,Teste de impulso boleano,Adimensional,NaT
,IC_20,Rendimento em carbono Inelástica relativa (20 Elemental Processing Standards),Rendimento em carbono Inelástica relativa (20 Elemental Processing Standards),Adimensional,NaT
,IC_WALK2,Rendimento em carbono Inelástica Relativa (SpectroLith WALK2 Modelo),Rendimento em carbono Inelástica Relativa (SpectroLith WALK2 Modelo),Adimensional,NaT
,ICA_20,Rendimento de cálcio Inelástica relativa (20 Elemental Processing Standards),Rendimento de cálcio Inelástica relativa (20 Elemental Processing Standards),Adimensional,NaT
,ICA_WALK2,Rendimento de cálcio Inelástica Relativa (SpectroLith WALK2 Modelo),Rendimento de cálcio Inelástica Relativa (SpectroLith WALK2 Modelo),Adimensional,NaT
,ICDD,ICDD,IC GR Data Density,ptpm,NaT
,ICESUF,Fator de incerteza da captura inelástica dos elementos estatísticos,Fator de incerteza da captura inelástica dos elementos estatísticos,Adimensional,NaT
,ICGC,ICGC,IC Gamma Ray BC,api,NaT
,ICGR,ICGR,IC Gamma Ray,api,NaT
,ICV,Integrated Cement Volume,Integrated Cement Volume,m3,NaT
,ICXT,ICXT,IC GR Exposure Time,HR,NaT
,IDDS,Identificação do Sensor de Downhole Processado,Identificação do Sensor de Downhole Processado,Adimensional,NaT
,IDQC,Verificação da Qualidade do Diâmetro Interno,Verificação da Qualidade do Diâmetro Interno,in,NaT
,IDSS,ID do sensor de superfície processado,ID do sensor de superfície processado,Adimensional,NaT
,IFTR1,Near Inel Fit Error,Reajuste de erro inelástico pelo sensor perto,Adimensional,NaT
,IFTR2,Far Inel Fit Error,Reajuste de erro inelástico pelo sensor distante,Adimensional,NaT
,IHV,Integrated Hole Volume,Integrated Hole Volume,m3,NaT
,ILS,Inelastic long space count rate,Frequencia do espectro inelástico nos canais de maior espaçamento,Hz,NaT
,ILS,Flowmeter,Medidor de vazão,rps,NaT
,IMLL,Current,Corrente elétrica do microlaterolog,A,NaT
,IMP_IMG_OBMT,Canal de controle de Qualidade dos Dados,Canal de controle de Qualidade dos Dados,Adimensional,NaT
,INCA,Far Inel Cation Value,Valor do cation inelástico pelo sensor distante,Adimensional,NaT
,INCA1,Near Inel Cation Value,Valor inelástico de cátion pelo sensor perto,Adimensional,NaT
,INCA2,Far Inel Cation Value,Valor inelástico de cátion pelo sensor distante,Adimensional,NaT
,INCHI,Inelástico Chi-Square,Inelástico Chi-Square,Adimensional,NaT
,INCL_CONT,Continuous Inclination,Inclinação Contínua,DEG,NaT
,INCL_CONT_RT,Continuous Inclination,Inclinação Contínua,DEG,NaT
,INCX,Inclinometro X,Inclinometer X,Admensional,NaT
,INCY,Inclinometro Y,Inclinometer Y,Admensional,NaT
,INDD,Taxa de contagem inelástica bruta do detector profundo.,Taxa de contagem inelástica bruta do detector profundo.,1/s,NaT
,INDE,Diametro Interno da Fronteira,Diametro Interno da Fronteira,mm,NaT
,INDEX,Rio sísmico,Rio sísmico,Adimensional,NaT
,INEL,Far Inel Spec,Espectro do inelástico pelo sensor distante,Adimensional,NaT
,INESUF,Fator de incerteza dos elementos estatísticos utilizados em Espectroscopia de Precisão RT,Fator de incerteza dos elementos estatísticos utilizados em Espectroscopia de Precisão RT,Adimensional,NaT
,INFD,Taxa de contagem inelástica bruta do detector distante.,Taxa de contagem inelástica bruta do detector distante.,1/s,NaT
,INFD_FIL,Taxa de contagem filtrada inelástica bruta do detector distante.,Taxa de contagem filtrada inelástica bruta do detector distante.,1/s,NaT
,INFD_TDTL,Taxa de contagem inelástica bruta do detector distante (TDTL).,Taxa de contagem inelástica bruta do detector distante (TDTL).,1/s,NaT
,INGAIN,Ganho inelástico,Ganho inelástico,Adimensional,NaT
,INND,Taxa de contagem inelástica bruta do detector próximo.,Taxa de contagem inelástica bruta do detector próximo.,1/s,NaT
,INND_FIL,Taxa de contagem filtrada inelástica bruta do detector próximo.,Taxa de contagem filtrada inelástica bruta do detector próximo.,1/s,NaT
,INOFF,Offset inelástico,Offset inelástico,Adimensional,NaT
,INOX,Far Inel Oxygen Value,Valor do oxigênio inelástico pelo sensor distante,Adimensional,NaT
,INOX1,Near Inel Oxygen Value,Valor inelástico de oxigênio pelo sensor perto,Adimensional,NaT
,INOX2,Far Inel Oxygen Value,Valor inelástico de oxigênio pelo sensor distante,Adimensional,NaT
,INRDF,Fator de degradação da Resolução Inelástica,Fator de degradação da Resolução Inelástica,Adimensional,NaT
,INSM,Far Inel Spec,Espectro do inelástico pelo sensor distante,Adimensional,NaT
,INVERR1,Erro de reconstrução do modo 1 de Inversão de resistividade,Erro de reconstrução do modo 1 de Inversão de resistividade,Adimensional,NaT
,INVERR2,Erro de reconstrução do modo 2 de Inversão de resistividade,Erro de reconstrução do modo 2 de Inversão de resistividade,Adimensional,NaT
,INVERR3,Erro de reconstrução do modo 3 de Inversão de resistividade,Erro de reconstrução do modo 3 de Inversão de resistividade,Adimensional,NaT
,INVERR4,Erro de reconstrução do modo 4 de Inversão de resistividade,Erro de reconstrução do modo 4 de Inversão de resistividade,Adimensional,NaT
,INVERR5,Erro de reconstrução do modo 5 de Inversão de resistividade,Erro de reconstrução do modo 5 de Inversão de resistividade,Adimensional,NaT
,Invest,"Investigative Pretest, 2nd to last pretest of a StethoScope station","Investigative Pretest, 2nd to last pretest of a StethoScope station",Adimensional,NaT
,IO_20,Rendimento de oxigênio Inelástica relativa (20 Elemental Processing Standards),Rendimento de oxigênio Inelástica relativa (20 Elemental Processing Standards),Adimensional,NaT
,IO_WALK2,Rendimento de oxigênio Inelástica Relativa (SpectroLith WALK2 Modelo),Rendimento de oxigênio Inelástica Relativa (SpectroLith WALK2 Modelo),Adimensional,NaT
,IONI,Ion Src Current,Corrente de íon,amps,NaT
,IPERM_HR,"Permeabilidade Integrada, em alta resolução","Permeabilidade Integrada, em alta resolução",MDFT,NaT
,IPOR,Porosidade Integrada,Porosidade Integrada,FT,NaT
,IPOR_HR,"Porosidade Integrada, em alta resolução","Porosidade Integrada, em alta resolução",FT,NaT
,IPRS,Internal Pressure,Pressão Interna,kPa,NaT
,IPRS_MAX,Maximum Internal Pressure,Maxima Pressão Interna,kPa,NaT
,IPRS_MIN,Minimum Internal Pressure,Minima Pressão Interna,kPa,NaT
,IPRS_SD,Internal Pressure Standard Deviation,Desvio Padrão da Pressão Interna,kPa,NaT
,IRAT,Razão inelástica.,Razão inelástica.,Admensional,NaT
,IRAT_FIL,Razão inelástica filtrada,Razão inelástica filtrada,Admensional,NaT
,IRAV,Valor Médio do Raio Interno,Valor Médio do Raio Interno,in,NaT
,IRAV_EXT,Media do Raio Interno Corrigido para Ecentricidade Externa,Media do Raio Interno Corrigido para Ecentricidade Externa,in,NaT
,IRAV_PMIT,Valor Medio de Raio Interno,Valor Medio de Raio Interno,in,NaT
,IRAV_RF,Media do Raio Inteno do Revestimento para Formas de Onda Unflagged,Media do Raio Inteno do Revestimento para Formas de Onda Unflagged,in,NaT
,IRBC[0],Raio interno do revestimento,Raio interno do revestimento,in,NaT
,IRBC_EXCO[0],"Raio interno do revestimento, Centralizacao corrigida","Raio interno do revestimento, Centralizacao corrigida",in,NaT
,IRBK,Raio Interno Normalizado,Raio Interno Normalizado,in,NaT
,IRBK_EXT,Raio Interno Corrigido para Ecentricidade Externa,Raio Interno Corrigido para Ecentricidade Externa,in,NaT
,IRBK_RF,Raio Externo do Revestimento Unflagged,Raio Externo do Revestimento Unflagged,in,NaT
,IRIN,InelMode Net Inel Ratio,Razão inelástica líquida no modo inelástico,Adimensional,NaT
,IRMN_EXT,Minimo Raio Externo Corrigido para Ecentricidade Externa,Minimo Raio Externo Corrigido para Ecentricidade Externa,in,NaT
,IRMN_PMIT,Valor Minimo de Raio Interno,Valor Minimo de Raio Interno,in,NaT
,IRMN_RF,Minimo Raio Externo Corrigido Unflagged para Ecentricidade,Minimo Raio Externo Corrigido Unflagged para Ecentricidade,in,NaT
,IRMX,Maximo Valor do Raio Interno,Maximo Valor do Raio Interno,in,NaT
,IRMX_EXT,Maximum Internal Radius Corrected for External Eccentering,Maximum Internal Radius Corrected for External Eccentering,in,NaT
,IRMX_PMIT,Valor Maximo de Raio Interno,Valor Maximo de Raio Interno,in,NaT
,IRMX_RF,Maximum of Unflagged Internal Radii Corrected for Eccentering,Maximum of Unflagged Internal Radii Corrected for Eccentering,in,NaT
,IRNO,Raio Interno Nominal do Casing,Raio Interno Nominal do Casing,in,NaT
,ISI_20,Rendimento do Silício Inelástica relativa (20 Elemental Processing Standards),Rendimento do Silício Inelástica relativa (20 Elemental Processing Standards),Adimensional,NaT
,ISI_WALK2,Rendimento do Silício Inelástica Relativa (SpectroLith WALK2 Modelo),Rendimento do Silício Inelástica Relativa (SpectroLith WALK2 Modelo),Adimensional,NaT
,ISO_UNC,Corrente de fonte não calibrado,Corrente de fonte não calibrado,ua,NaT
,ISS,Inelastic short space count rate,Frequencia do espectro inelástico nos canais de menor espaçamento,Hz,NaT
,ISSD,Inelastic short space count rate scaled down for computation,Frequencia escalada do espectro inelástico nos canais de menor espaçamento,Hz,NaT
,ISSR,ISSD nominal value for reduced crv computation,Valor nominal ISSD utilizada para redução computacional,Hz,NaT
,IT,Corrente Total,Corrente Total,Adimensional,NaT
,ITB_20,Rendimento relativo fixo da ferramenta no fundo (padrão de processamento de elementos 20),Rendimento relativo fixo da ferramenta no fundo (padrão de processamento de elementos 20),Adimensional,NaT
