Mnemonics_Arquivos,Mnemonics_Variaveis,long_name,Descricao,Unidade,Data Atualização
CAL,CAL,Caliper,Diâmetro nominal do poço,in,2024-02-06 00:00:00
CAL,CALFM,Caliper,,in,
CAL,CALC,Caliper,,in,
CAL,RCAL,Caliper,,in,
CAL,IRMN,Valor Minimo do Raio Interno,Valor Minimo do Raio Interno,in,
CAL,CAL1W,Diameter from pad 1 and its opposite,Diamêtro do pad 1 e seu oposto,in,
CAL,CAL2W,Diameter from pad 2 and its opposite,Diamêtro do pad 2 e seu oposto,in,
CAL,CAL3W,Diameter from pad 3 and its opposite,Diamêtro do pad 3 e seu oposto,in,
CAL,CALW,Caliper,,in,
CAL,CAL1QH,Diameter from pad 1 and its opposite,Diâmetro de patin 1 e seu oposto em alta resolução,in,
CAL,CAL2QH,Diameter from pad 2 and its opposite,Diâmetro de patin 2 e seu oposto em alta resolução,in,
CAL,CAL3QH,Diameter from pad 3 and its opposite,Diâmetro de patin 3 e seu oposto em alta resolução,in,
CAL,CAL1,Diameter from pad 1 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 1 e 4,in,
CAL,CAL2,Diameter from pad 2 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 2 e 5,in,
CAL,CAL3,Diameter from pad 3 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 3 e 6,in,
CAL,CAL4,CAL4,Caliper 4,in,
CAL,CAL5,CAL5,Caliper 5,in,
CAL,CAL6,CAL6,Caliper 6,in,
CAL,C1,Caliper 1,Caliper 1,IN,
CAL,C2,Caliper 2,Caliper 2,IN,
CAL,CALX,Caliper from X-axis of XY caliper(s),Diâmetro nominal no eixo X.,in,
CAL,CALX_H,Caliper,,in,
CAL,CALI,Caliper,Caliper,in,
CAL,C13,C13,Pares de caliper 1 e 3,in,
CAL,C24,C24,Pares de caliper 2 e 4,in,
CAL,CAL2,Diameter from pad 2 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 2 e 5,in,
CAL,CALIA,Caliper,,in,
CAL,HCAL,Caliper Calibrado,Caliper Calibrado,IN,
CAL,HDAR,Borehole Diameter,,in,
CAL,HD1_PPC1,Caliper,,in,
CAL,HD2,Bulk Density Bin 2/8,Curva de Densidade referente ao Bin 2/8,g/cc,
CAL,HD2_PPC1,Caliper,,in,
CAL,HD2_PPC2,Caliper,,in,
CAL,CAL1QH,Diameter from pad 1 and its opposite,Diâmetro de patin 1 e seu oposto em alta resolução,in,
CAL,CAL2QH,Diameter from pad 2 and its opposite,Diâmetro de patin 2 e seu oposto em alta resolução,in,
CAL,RD1_PPC1,Caliper,,in,
CAL,DCAL,Diff Caliper,Caliper diferencial,in,
GR,GR,Gamma Ray,Raio gama,gAPI,
GR,GR.20/M]),Gamma Ray,,,
GR,GR_MRIL,Gamma Ray,,gAPI,
GR,GRMA,"Gamma Ray, Average",Média dos Raios Gama Medida pelo,GAPI,
GR,GRAFM,"Gamma Ray - Apparent - Filtered, Memory","Raios Gama aparente (pois não foram aplicadas as correções ambientais) e filtrado, em memória",gAPI,
GR,GRAM,"Gamma Ray - Apparent, Memory","Raios Gama aparente pois não foram aplicadas as correções ambientais, em memória",gAPI,
GR,ECGR_EDTC,Raio Gamma Corrigido Ambientalmente,Raio Gamma Corrigido Ambientalmente,gAPI,
GR,AZS1G,GPIT Simples - Somatório de Gama,GPIT Simples - Somatório de Gama,M/S2,
GR,AZS2G,GPIT Dupla - Somatório de Gama,GPIT Dupla - Somatório de Gama,M/S2,
GR,GRAFM,"Gamma Ray - Apparent - Filtered, Memory","Raios Gama aparente (pois não foram aplicadas as correções ambientais) e filtrado, em memória",gAPI,
GR,GR_EDTC,Raio Gamma,Raio Gamma,gAPI,
GR,GRA_LWD,Apparent Gamma Ray,,gAPI,
GR,ECGR,Raio Gamma Corrigido Ambientalmente,Raio Gamma Corrigido Ambientalmente,gAPI,
GR,CFGR,Gamma-Ray Correction Coeff.,,,
GR,EHGR,Raio Gamma Corrigido de Alta Resolucao,Raio Gamma Corrigido de Alta Resolucao,gAPI,
GR,GRUTHK,Spectral Gamma Ray,,gAPI,
GR,GRC,Gamma Ray Calculated,Calculated Gamma,Gapi,
GR,GRC_LWD,Corrected Gamma Ray - LWD,,gAPI,
GR,RGR,Raio Gamma Bruto,Raio Gamma Bruto,gAPI,
GR,UZ,Fator Fotoeletrico Volumetrico em Resolução Padrão,Fator Fotoeletrico Volumetrico em Resolução Padrão,Adimensional,
GR,RHGR,Raio Gamma Bruto de Alta Resolucao,Raio Gamma Bruto de Alta Resolucao,gAPI,
GR,GRKT,Spectral Gamma Ray - K + TH,,gAPI,
GR,GRTH,Gamma TH,Somatório dos raios gama de tório,gAPI,
GR,GRCO,Gamma Ray Corrected,Raio gama corrigido,gapi,
GR,GRTO,Total Gamma Ray ,,gAPI,
GR,GRTO_UNC,Uncorrected Gamma Ray,,gAPI,
GR,GR_ARC,ARC Gamma Ray,Raio Gama do ARC,GAPI,
GR,GR_CDR,Gamma Ray LWD,,gAPI,
GR,ARC_GR_RT,Gamma Ray LWD,,gAPI,
GR,GR_ARC_FILT_LWD,Filtred Gamma Ray LWD,,gAPI,
GR,GR_ARC_FILT,"ARC Calibrated, Filtered Gamma Ray","ARC Calibrated, Filtered Gamma Ray",gAPI,
GR,GR_ARC_CAL,ARC Calibrated Gamma Ray,Raios Gama Calibrado,gapi,
GR,GRSLC,"Gamma ray from 1329 spectrum, borehole corrected",,gAPI,
GR,KAPIC,"Potassium yield in API units, borehole corrected",,gAPI,
GR,THAPIC,Thorium yield in API unit borehole corrected,,gAPI,
GR,UAPIC,Uranium yield in API units borehole corrected,,gAPI,
GR,GRA_LWD,Gamma Ray LWD,,gAPI,
GR,GR01,Gamma Ray,,gAPI,
GR,GRSL01,Gamma ray from 1329 spectrum,,gAPI,
GR,KAPI01,Potassium yield in API units,,gAPI,
GR,KTH01,Stripped potassium-thorium,,gAPI,
GR,THAPI01,Thorium yield in API unit,,gAPI,
GR,UAPI01,Uranium yield in API units,,gAPI,
GR,HGR,Raio Gamma de Alta Resolucao,Raio Gamma de Alta Resolucao,gAPI,
GR,SGRC,DGR Combined Gamma Ray,Curva de Raios Gama Combinado,api,
GR,SGRC_LWD,Gamma Ray LWD,,gAPI,
GR,GR_CDR,Gamma Ray LWD,,gAPI,
DT,DT,Delta-T (Intervalo de Tempo de Transito),Delta-T (Intervalo de Tempo de Transito),us/ft,
DT,DTL,Delta-T espaco longo,Delta-T espaco longo,us/ft,
DT,DT2R,Delta T Cisalhante Array Receptor para dipolo superior,Delta T Cisalhante Array Receptor para dipolo superior,US/F,
DT,DT5,Delta T compressional para DDBHC,Delta T compressional para DDBHC,US/F,
DT,DT5_1,Sonic Transit Time,,us/ft,
DT,DTI,DryrockTiWF,Volume de Rocha em Ti,decp,
DT,DT24A_I,Sonic Transit Time,,us/ft,
DT,MDT,MonoDeltaT,Pico da onda monopoloar mais lenta,us/ft,
DT,MDT2,MonoDeltaT 2,Pico da onda monopoloar mais lenta 2,us/ft,
DT,DT_1,Sonic Transit Time,,us/ft,
DT,DT2R,Delta T Cisalhante Array Receptor para dipolo superior,Delta T Cisalhante Array Receptor para dipolo superior,US/F,
DT,DT5,Delta T compressional para DDBHC,Delta T compressional para DDBHC,US/F,
DT,DT5_1,Sonic Transit Time,,us/ft,
DT,DTI,DryrockTiWF,Volume de Rocha em Ti,decp,
DT,DT24A_I,Sonic Transit Time,,us/ft,
DT,DTRP,"Delta T Compressional, Receiver Array  Monopole P&S",Delta-T Compressional para o Receptor,USF,
DT,DTRP_LWD,Sonic Transit Time - LWD,,us/ft,
DT,DTTP,"Delta T Compressional, Transmitter Array  Monopole P&S",Delta-T Compressional para o Transmissor,USF,
DT,DTTP_LWD,Sonic Transit Time - LWD,,us/ft,
DT,DT4P,Delta-T Compressional - Monopole P&S,Delta-T Compressional - Monopole P&S,us/ft,
DTC,DT_ML,Delta-T com Intervalo de 1.5 Pé do Transmissor Inferior do MAST,Delta-T com Intervalo de 1.5 Pé do Transmissor Inferior do MAST,US/F,
DTC,DT_MU,Delta-T com Intervalo de 1.5 Pé do Transmissor Superior do MAST,Delta-T com Intervalo de 1.5 Pé do Transmissor Superior do MAST,US/F,
DTC,DTL_MFL,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Monopolo Distante Inferior,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Monopolo Distante Inferior,US/F,
DTC,DTL_MFU,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo Monopolo Distante Inferior,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo Monopolo Distante Inferior,US/F,
DTC,DTL_PBHC,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo BHC,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo BHC,US/F,
DTC,DTHM,Delta-T Compressional,,us/ft,
DTC,DTL_MFL,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Monopolo Distante Inferior,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Monopolo Distante Inferior,US/F,
DTC,DTL_MFU,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo Monopolo Distante Inferior,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo Monopolo Distante Inferior,US/F,
DTC,DTL_PBHC,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo BHC,Vagarosidade do Espaçamento longo com intervalo de 1.5 pé do MAST - Pseudo BHC,US/F,
DTC,DTLM,Delta-T Compressional,,us/ft,
DTC,DTSU,Compressional Sonic,,us/ft,
DTC,DTSU_1,Compressional Sonic,,us/ft,
DTC,DTP,Compressional Sonic,,us/ft,
DTC,DTC,Compressional Slowness Processed,Curva da Onda Compressional Processada,usec/ft,
DTC,DTC_LWD,Compressional Sonic LWD,,us/ft,
DTC,DTC1,Compressional Sonic,,us/ft,
DTC,DTSL,Compressional Sonic,,us/ft,
DTC,DTSL_1,Compressional Sonic,,us/ft,
DTC,DT_BHC,Compensação da Vagarosidade do Poço com Intervalo de 1.5 pé obtido do Espaço próximo do MAST,Compensação da Vagarosidade do Poço com Intervalo de 1.5 pé obtido do Espaço próximo do MAST,US/F,
DTC,DT_COR,Compensação da Vagarosidade do Poço com Intervalo de 1.5 Pés do MAST,Compensação da Vagarosidade do Poço com Intervalo de 1.5 Pés do MAST,US/F,
DTC,DTCO,Delta-T Compressional Computed Downhole,Delta T Compressional,USF,
DTC,DTCO_1,Delta-T Compressional,,us/ft,
DTC,DTCO2,Vagarosidade Compressional da Medida 2,Vagarosidade Compressional da Medida 2,US/F,
DTC,DTCO3,Vagarosidade Compressional da Medida 3,Vagarosidade Compressional da Medida 3,US/F,
DTC,DT24_I ,Compressional Sonic,,us/ft,
DTC,DTPM,Compressional Slowness/Vagarosidade da onda compressional,"Vagarosidade da onda compressional em alta frequencia, em memória",uS/ft,
DTC,DTPM11,Delta-T Compressional from Receiver Array,,us/ft,
DTC,DTPM12,Delta-T Compressional from Receiver Array,,us/ft,
DTC,DTPM_LWD,Delta-T Compressional from Receiver Array,,us/ft,
DTC,DTBC_LWD,Delta-T Compressional Borehole Compensated (Depth Derived),,us/ft,
DTC,DTCC_LWD,Delta-T Compressional with Coherence Cutoff,,us/ft,
DTC,DTCO_RT_LWD,"Delata-T Compressional, Real-Time",,us/ft,
DTC,MDT,MonoDeltaT,Pico da onda monopoloar mais lenta,us/ft,
DTC,DTCO_MINUS_ERR_TOT_LWD,Compressional Sonic LWD,,us/ft,
DTC,DTCO_PLUS_ERR_TOT_LWD,Compressional Sonic LWD,,us/ft,
DTC,DT24QI,Acoustic Slowness,Vagarosidade da onda no intervalo de 24 polegadas em alta resolução,us/ft,
DTC,DTRP_LWD,Compressional Sonic,,ohm.m,
DTC,DTCO_LWD,Compressional Sonic - LWD,,ohm.m,
DTC,DTTP_LWD,Compressional Sonic,,ohm.m,
DTC,DTC_LWD,Delta-T Compressional from Transmitter Array,,ohm.m,
DTS,DTSM,Shear Slowness/Vagarosidade da onda de cisalhamento,"Vagarosidade da onda de cisalhamento em alta frequencia, em memória",uS/ft,
DTS,DTSM_1,Delta-T Shear,,us/ft,
DTS,DTS,Shear Slowness Processed,Curva da Onda Cisalhante Processada,usec/ft,
DTS,DTS_1,Shear Sonic,,us/ft,
DTS,DTRS,Delta T Refracted Shear,Delta T Cisalhamento Refratada,us/ft,
DTS,DTSF,Shear Sonic,,us/ft,
DTS,DT3R,Delta T Stoneley Array Receptor para monopolo Stoneley,Delta T Stoneley Array Receptor para monopolo Stoneley,US/F,
DTS,DTS_LWD,Shear Sonic LWD,,us/ft,
DTS,DTSH3,Vagarosidade Compressional da Medida 3,Vagarosidade Compressional da Medida 3,US/F,
DTS,DTSH5,Vagarosidade Compressional da Medida 5,Vagarosidade Compressional da Medida 5,US/F,
DTS,DTSH6,Vagarosidade Compressional da Medida 6,Vagarosidade Compressional da Medida 6,US/F,
DTS,DTST,Delta T Stoneley,Delta T Stoneley,us/ft,
DTS,DTSTE,Stoneley slowness,,us/ft,
DTS,DTI_MFL,Shear Sonic,,us/ft,
DTS,DTI_MFU,Shear Sonic,,us/ft,
DTS,DTI_PBHC,Shear Sonic,,us/ft,
DTS,DTSM_LWD,Delta-T Shear LWD,,us/ft,
DTS,DTTS_LWD,Shear Sonic - LWD,,us/ft,
DTS,DTSM_LWD,Delta-T Shear - LWD,,us/ft,
RT,RT,Valor da Resistividade real da formação,Valor da Resistividade real da formação,ohm.m,
RT,AE10,"Resistividade AIT compensada para as condições do poço, 10 polegadas de profundidade de investigação","Resistividade AIT compensada para as condições do poço, 10 polegadas de profundidade de investigação",ohm.m,
RT,RT10,10 in Radial Res,Resistividade no Raio de 10 Polegadas,ohm.m,
RT,RT20,20 in Radial Res,Resistividade no Raio de 20 Polegadas,ohm.m,
RT,RT30,30 in Radial Res,Resistividade no Raio de 30 Polegadas,ohm.m,
RT,RT60,60 in Radial Res,Resistividade no Raio de 60 Polegadas,ohm.m,
RT,RT90,90 in Radial Res,Resistividade no Raio de 90 Polegadas,ohm.m,
RT,AE20,"Resistividade AIT compensada para as condições do poço, 20 polegadas de profundidade de investigação","Resistividade AIT compensada para as condições do poço, 20 polegadas de profundidade de investigação",ohm.m,
RT,AE30,"Resistividade AIT, AIT-H, AIT-M compensada para as condições do poço, 30 polegadas de profundidade de investigação","Resistividade AIT, AIT-H, AIT-M compensada para as condições do poço, 30 polegadas de profundidade de investigação",ohm.m,
RT,AE60,"Resistividade AIT, AIT-H, AIT-M compensada para as condições do poço, 60 polegadas de profundidade de investigação","Resistividade AIT, AIT-H, AIT-M compensada para as condições do poço, 60 polegadas de profundidade de investigação",ohm.m,
RT,AE90,"Resistividade AIT, AIT-H, AIT-M compensada para as condições do poço, 90 polegadas de profundidade de investigação","Resistividade AIT, AIT-H, AIT-M compensada para as condições do poço, 90 polegadas de profundidade de investigação",ohm.m,
RT,AHF10,"resistividade AIT-H com resolução vertical de 4 pes, 10 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 10 polegadas de profundidade de investigação",OHMM,
RT,AHF20,"resistividade AIT-H com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação",OHMM,
RT,AHF30,"resistividade AIT-H com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação",OHMM,
RT,AHF60,"resistividade AIT-H com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação",OHMM,
RT,AHF90,"resistividade AIT-H com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação",OHMM,
RT,AHO10,"resistividade AIT-H com resolução vertical de 1 pe, 10 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 1 pe, 10 polegadas de profundidade de investigação",OHMM,
RT,AHO20,"resistividade AIT-H com resolução vertical de 1 pe, 20 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 1 pe, 20 polegadas de profundidade de investigação",OHMM,
RT,AHO30,"resistividade AIT-H com resolução vertical de 1 pe, 30 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 1 pe, 30 polegadas de profundidade de investigação",OHMM,
RT,AHO60,"resistividade AIT-H com resolução vertical de 1 pe, 60 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 1 pe, 60 polegadas de profundidade de investigação",OHMM,
RT,AHO90,"resistividade AIT-H com resolução vertical de 1 pe, 90 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 1 pe, 90 polegadas de profundidade de investigação",OHMM,
RT,AHT20,"resistividade AIT-H com resolução vertical de 2 pes, 20 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 2 pes, 20 polegadas de profundidade de investigação",OHMM,
RT,AHT60,"resistividade AIT-H com resolução vertical de 2 pes, 60 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 2 pes, 60 polegadas de profundidade de investigação",OHMM,
RT,AHMF,valor da lama completamente calibrada,valor da lama completamente calibrada,OHMM,
RT,RVDRU,Resistividade do eletrodo B1 não-calibrada,Resistividade do eletrodo B1 não-calibrada,OHMM,
RT,RVSRU,Resistividade do eletrodo B2 não-calibrada,Resistividade do eletrodo B2 não-calibrada,OHMM,
RT,RXGR,Resistividade baseada na Corrente Global do MCFL,Resistividade baseada na Corrente Global do MCFL,OHMM,
RT,RXRU,Resistividade do eletrodo B0 não-calibrada,Resistividade do eletrodo B0 não-calibrada,OHMM,
RT,AHTCO60,"Condutividade AIT-H com resolução vertical de 2 pes, 60 polegadas de profundidade de investigação","Condutividade AIT-H com resolução vertical de 2 pes, 60 polegadas de profundidade de investigação",MM/M,
RTA,ATRD,Uncorrected Attenuation Resistivity from T1 - LWD,,ohm.m,
RTA,ATRU,Uncorrected Attenuation Resistivity from T2 - LWD,,ohm.m,
RTA,ATR,Uncorrected Attenuation Resistivity - LWD,,ohm.m,
RTA,A16H_UNC,Non-BHCorr  Attenuation resistivity  16 in at 2 MHz,"Resistividade de Atenuação ao espaçamento de 16 in em 2 MHz, não corrigida",OHMM,
RTA,A22H_UNC_LWD,Attenuation Resistivity LWD,,ohm.m,
RTA,A22H_UNC,Non-BHCorr  Attenuation resistivity  22 in at 2 MHz,"Resistividade de Atenuação ao espaçamento de 22 in em 2 MHz, não corrigida",OHMM,
RTA,A28H_UNC,Non-BHCorr  Attenuation resistivity  28 in at 2 MHz,"Resistividade de Atenuação ao espaçamento de 28 in em 2 MHz, não corrigida",OHMM,
RTA,A34H_UNC,Non-BHCorr  Attenuation resistivity  34 in at 2MHz,"Resistividade de Atenuação ao espaçamento de 34 in em 2MHz , não corrigida",OHMM,
RTA,A40H_UNC_LWD,Attenuation Resistivity LWD,,ohm.m,
RTA,A40H_UNC,Non-BHCorr  Attenuation resistivity  40 in at 2MHz,"Resistividade de Atenuação ao espaçamento de 40 in em 2MHz , não corrigida",OHMM,
RTA,P16H_UNC,Non-BHCorr  Phase Shift resistivity  16 in at 2MHz,"Resistividade de Defasagem ao espaçamento de 16 in em 2MHz , não corrigida",OHMM,
RTA,ATR_RT,"Attenuation Resistivity, Real-Time - LWD",,ohm.m,
RTA,RACLM,Resistivity Attenuation - 400kHZ,"Resistividade proveniente da atenuação de 400kHz, em memória",ohm.m,
RTA,RACLX,Resistivity Attenuation - 400kHz,Resistividade proveniente da atenuação de 400kHz em tempo real,ohm.m,
RTA,AF10,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 10 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 10 polegadas de profundidade de investigação",ohm.m,
RTA,AHF20,"resistividade AIT-H com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação",OHMM,
RTA,AHF20,"resistividade AIT-H com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação",OHMM,
RTA,AF20,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação",ohm.m,
RTA,AF20,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 20 polegadas de profundidade de investigação",ohm.m,
RTA,AHF30,"resistividade AIT-H com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação",OHMM,
RTA,AHF30,"resistividade AIT-H com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação",OHMM,
RTA,AF30,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação",ohm.m,
RTA,AF30,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 30 polegadas de profundidade de investigação",ohm.m,
RTA,AHF60,"resistividade AIT-H com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação",OHMM,
RTA,AHF60,"resistividade AIT-H com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação",OHMM,
RTA,AF60,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação",ohm.m,
RTA,AF60,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 60 polegadas de profundidade de investigação",ohm.m,
RTA,AHF90,"resistividade AIT-H com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação",OHMM,
RTA,AHF90,"resistividade AIT-H com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação",OHMM,
RTA,AF90,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação",ohm.m,
RTA,AF90,"Resistividade AIT, AIT-M com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 4 pes, 90 polegadas de profundidade de investigação",ohm.m,
RTP,P22H_UNC_LWD,Phase Shift Resistivity LWD,,ohm.m,
RTP,P22H_UNC,Non-BHCorr  Phase Shift resistivity  22 in at 2MHz,"Resistividade de Defasagem ao espaçamento de 22 in em 2MHz , não corrigida",OHMM,
RTP,P28H_UNC,Non-BHCorr  Phase Shift resistivity  28 in at 2MHz,"Resistividade de Defasagem ao espaçamento de 28 in em 2MHz , não corrigida",OHMM,
RTP,P34H_UNC,Non-BHCorr  Phase Shift resistivity  34 in at 2MHz,"Resistividade de Defasagem ao espaçamento de 34 in em 2MHz , não corrigida",OHMM,
RTP,P40H_UNC_LWD,Phase Shift Resistivity LWD,,ohm.m,
RTP,P40H_UNC,Non-BHCorr  Phase Shift resistivity  40 in at 2MHz,"Resistividade de Defasagem ao espaçamento de 40 in em 2MHz , não corrigida",OHMM,
RTP,RACHX,Resistivity Attenuation - 2MHz,Resistividade proveniente da atenuação de 2MHz em tempo real,ohm.m,
RTP,RPCHM,Resistivity Phase - 2MHz,"Resistividade proveniente da diferença de fase de 2MHz, em memória",ohm.m,
RTP,RPLCM,Resistivity Phase - Corrected - 400MHz - LWD,,ohm.m,
RTP,AHT30,"resistividade AIT-H com resolução vertical de 2 pes, 30 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 2 pes, 30 polegadas de profundidade de investigação",OHMM,
RTP,AHT60,"resistividade AIT-H com resolução vertical de 2 pes, 60 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 2 pes, 60 polegadas de profundidade de investigação",OHMM,
RTP,AHT90,"resistividade AIT-H com resolução vertical de 2 pes, 90 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 2 pes, 90 polegadas de profundidade de investigação",OHMM,
RTD,RD,Deep resistivity,Resistividade Profunda,ohm.m,
RTD,ILD,Induction Laterolog Deep Resistivity,,ohm.m,
RTD,ILD_1,Induction Laterolog Deep Resistivity,,ohm.m,
RTD,LLD,Laterolog Deep,Leitura da resistividade lateral mais profunda,ohm.m,
RTD,AHT90,"resistividade AIT-H com resolução vertical de 2 pes, 90 polegadas de profundidade de investigação","resistividade AIT-H com resolução vertical de 2 pes, 90 polegadas de profundidade de investigação",OHMM,
RTD,AT90,"Resistividade AIT, AIT-M com resolução vertical de 2 pes, 90 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 2 pes, 90 polegadas de profundidade de investigação",ohm.m,
RTD,ATRT,Valor da resistividadee real da formação com dois pes de resolução vertical,Valor da resistividadee real da formação com dois pes de resolução vertical,OHMM,
RTD,RILD,Deep Resistivity,,ohm.m,
RTD,IDPH,Deep Induction Resistivity,,ohm.m,
RTD,IDPH,Deep Induction Resistivity,,ohm.m,
RTD,RLA5_UNCORR,Deep Laterolog Resistivity,,ohm.m,
RTD,RLA4_UNCORR,Deep Laterolog Resistivity,,ohm.m,
RTD,ATRT,Valor da resistividadee real da formação com dois pes de resolução vertical,Valor da resistividadee real da formação com dois pes de resolução vertical,OHMM,
RTD,ATRX,Valor da resistividadee da zona invadida com dois pes de resolução vertical,Valor da resistividadee da zona invadida com dois pes de resolução vertical,OHMM,
RTD,LLG,Deep Resistivity,,ohm.m,
RTD,LLG_1,Deep Resistivity,,ohm.m,
RTD,LLG_2,Deep Resistivity,,ohm.m,
RTD,LLG_3,Deep Resistivity,,ohm.m,
RTD,ATH90,Deep Resistivity,,ohm.m,
RTD,RD,Deep resistivity,Resistividade Profunda,ohm.m,
RTD,SEDEP,Deep Resistivity LWD,,ohm.m,
RTD,SDEP,Set Depth,Profundidade em que a ferramenta foi assentada,m,
RTD,HDRS,Deep Resistivity,Leitura da resistividade mais profunda,ohm.m,
RTD,HDRS_1,Deep Resistivity,,ohm.m,
RTD,SEDEP,Deep Resistivity LWD,,ohm.m,
RTD,SDEP,Set Depth,Profundidade em que a ferramenta foi assentada,m,
RTD,HDRS,Deep Resistivity,Leitura da resistividade mais profunda,ohm.m,
RTD,HDRS_1,Deep Resistivity,,ohm.m,
RTM,ILM,Induction Laterolog Resistivity Medium,,ohm.m,
RTM,LL3,Medium Resistivity,,ohm.m,
RTM,RM,Medium Resistivity,,ohm.m,
RTM,RM_1,Medium Resistivity,,ohm.m,
RTM,ATH10,Medium Resistivity,,ohm.m,
RTM,RSN,Medium Resistivity,,ohm.m,
RTM,AT10,"Resistividade AIT, AIT-M com resolução vertical de 2 pes, 10 polegadas de profundidade de investigação","Resistividade AIT, AIT-M com resolução vertical de 2 pes, 10 polegadas de profundidade de investigação",ohm.m,
